"Area","Species"
741.151428222656,"Abditomys_latidens"
10767.7510986328,"Abeomelomys_sevia"
51863.3991699219,"Abrawayaomys_ruschii"
119071.456665039,"Abrocoma_bennettii"
0,"Abrocoma_boliviensis"
677.531311035156,"Abrocoma_budini"
506052.181605607,"Abrocoma_cinerea"
3389.40631103516,"Abrocoma_famatina"
5935.33978271484,"Abrocoma_shistacea"
0,"Abrocoma_uspallata"
0,"Abrocoma_vaccarum"
587490.314967424,"Abrothrix_andinus"
300.431091308594,"Abrothrix_hershkovitzi"
57865.6112670898,"Abrothrix_illutea"
35529.3806762695,"Abrothrix_illuteus"
465001.31551674,"Abrothrix_jelskii"
34393.7042922974,"Abrothrix_lanosus"
697986.213745117,"Abrothrix_longipilis"
4554.02667236328,"Abrothrix_markhami"
1029651.59076907,"Abrothrix_olivaceus"
3858.25099182129,"Abrothrix_sanborni"
158049.186843872,"Acerodon_celebensis"
0,"Acerodon_humilis"
135337.756103516,"Acerodon_jubatus"
9458.87203979492,"Acerodon_leucotis"
62301.9954528809,"Acerodon_mackloti"
5146988.30731201,"Acinonyx_jubatus"
1836212.00622559,"Acomys_airensis"
4009150.74331665,"Acomys_cahirinus"
0,"Acomys_cilicicus"
1051956.9238205,"Acomys_cineraceus"
1538228.19744873,"Acomys_dimidiatus"
103071.072631836,"Acomys_ignitus"
430991.59197998,"Acomys_johannis"
568749.5234375,"Acomys_kempi"
679856.759552002,"Acomys_louisae"
6233.10787963867,"Acomys_minous"
157482.636413574,"Acomys_mullah"
7080.55268859863,"Acomys_nesiotes"
214768.789859772,"Acomys_percivali"
693018.223297119,"Acomys_russatus"
299151.849182129,"Acomys_seurati"
1741586.83998176,"Acomys_spinosissimus"
90954.61328125,"Acomys_subspinosus"
1368932.41644669,"Acomys_wilsoni"
30364.7440185547,"Aconaemys_fuscus"
21445.8837280273,"Aconaemys_porteri"
40364.4044494629,"Aconaemys_sagei"
1182287.76319885,"Acrobates_pygmaeus"
51404.4952392578,"Addax_nasomaculatus"
0,"Aegialomys_galapagoensis"
252375.524917603,"Aegialomys_xanthaeolus"
9179.55554199219,"Aepeomys_lugens"
12922.7721557617,"Aepeomys_reigi"
3433998.64675447,"Aepyceros_melampus"
558421.01789856,"Aepyprymnus_rufescens"
59427.8656616211,"Aeretes_melanopterus"
349659.462295532,"Aeromys_tephromelas"
436926.218688965,"Aeromys_thomasi"
98146.7242431641,"Aethalops_aequalis"
155216.25201416,"Aethalops_alecto"
253267.454986572,"Aethomys_bocagei"
4094866.00157496,"Aethomys_chrysophilus"
132858.229431152,"Aethomys_granti"
2407723.01685259,"Aethomys_hindei"
584819.766601562,"Aethomys_ineptus"
1579824.09908456,"Aethomys_kaiseri"
3316208.24388123,"Aethomys_namaquensis"
883883.739955574,"Aethomys_nyikae"
19659.8687744141,"Aethomys_silindensis"
171006.915283203,"Aethomys_stannarius"
272140.147827148,"Aethomys_thomasi"
36303.7376708984,"Ailuropoda_melanoleuca"
0,"Ailurops_melanotis"
160009.98664856,"Ailurops_ursinus"
338680.224395752,"Ailurus_fulgens"
113409.852294922,"Akodon_aerosus"
44706.6580810547,"Akodon_affinis"
380607.834742814,"Akodon_albiventer"
692.3720703125,"Akodon_aliquantulus"
1200232.41988182,"Akodon_azarae"
61461.447265625,"Akodon_bogotensis"
203136.00481987,"Akodon_boliviensis"
19217.6527709961,"Akodon_budini"
814654.495697021,"Akodon_cursor"
287393.842712402,"Akodon_dayi"
803211.315567017,"Akodon_dolores"
152023.259216309,"Akodon_fumeus"
565732.842468262,"Akodon_iniscatus"
114842.818603516,"Akodon_juninensis"
14997.3570556641,"Akodon_kofordi"
3861.06964111328,"Akodon_latebricola"
0,"Akodon_leucolimnaeus"
6490.38751220703,"Akodon_lindberghi"
111935.019582748,"Akodon_lutescens"
